pdf_id,pdf_nombre,revista,pais,macroarea,anio,titulo,A_ia,B_ia,C_ia,clase_textual_ia,veredicto_ia,motivo_ia,confianza_ia
1,00033_Praxis_Educativa_2025.pdf,Praxis Educativa,Argentina,Ciencias Agrarias y Ambientales,2025,Géneros textuales empleados en las universidades del Ecuador. ¿Qué se escribe en las aulas universitarias?,1,0,1,Falla fuerte,FF clasica,,
2,00057_RIA_Revista_Investigaciones_Ag_2022.pdf,RIA: Revista Investigaciones Agropecuarias,Argentina,Ciencias Agrarias y Ambientales,2022,Prospección del marchitamiento y cancro bacteriano del tomate en invernaderos del Cinturón Hortícola de La Plata,1,0,1,Falla fuerte,FF clasica,,
3,00066_Revista_Argentina_de_Antropolo_2021.pdf,Revista Argentina de Antropología Biológica,Argentina,Ciencias Agrarias y Ambientales,2021,"Distribución geográfica de la presión arterial elevada en relación al exceso ponderal en niños y niñas que viven en el cinturón productivo de La Plata (Buenos Aires, Argentina)",1,0,1,Falla fuerte,FF clasica,,
4,00068_Revista_Argentina_de_Antropolo_2020.pdf,Revista Argentina de Antropología Biológica,Argentina,Ciencias Agrarias y Ambientales,2020,"El periurbano productivo de la ciudad de La Plata (Buenos Aires, Argentina)",1,1,1,Debilidad importante,FF con reconocimiento,,
5,00069_Revista_Argentina_de_Antropolo_2019.pdf,Revista Argentina de Antropología Biológica,Argentina,Ciencias Agrarias y Ambientales,2019,Distancias maritales: Salta (Argentina),1,0,0,Debilidad importante,Debilidad importante,,
6,00092_Acta_Scientiarum_Animal_Scienc_2025.pdf,Acta Scientiarum: Animal Sciences,Brasil,Ciencias Agrarias y Ambientales,2025,Assessment of the effects of the BARF diet on the health of dogs,1,1,0,Debilidad importante,Debilidad importante,,
7,00093_Acta_Scientiarum_Animal_Scienc_2025.pdf,Acta Scientiarum: Animal Sciences,Brasil,Ciencias Agrarias y Ambientales,2025,Next generation sequencing and bio-informatics analysis for the investigation of the vaginal bacterial microflora of clinically healthy mares,1,0,1,Falla fuerte,FF clasica,,
8,00097_Acta_Scientiarum_Animal_Scienc_2023.pdf,Acta Scientiarum: Animal Sciences,Brasil,Ciencias Agrarias y Ambientales,2023,"Microbiological diagnosis and antimicrobial resistance profile of bovine mastitis causing agents in the municipality of Placas, Pará, Brazil",1,0,1,Falla fuerte,FF clasica,,
9,00101_Arquivo_Brasileiro_de_Medicina_2026.pdf,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2026,Effects of selective serotonin and norepinephrine reuptake inhibitor (Venlafaxine) in urine marking behavior in castrated male cats,1,1,1,Debilidad importante,FF con reconocimiento,,
10,00102_Arquivo_Brasileiro_de_Medicina_2026.pdf,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2026,Relationships between liver blood markers and milk parameters in cows,1,0,0,Debilidad importante,Debilidad importante,,
11,00109_Arquivo_Brasileiro_de_Medicina_2023.pdf,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2023,Molecular prevalence of Mycoplasma parvum in production cycle of technified swine herds,1,1,1,Debilidad importante,FF con reconocimiento,,
12,00110_Arquivo_Brasileiro_de_Medicina_2023.pdf,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2023,Occurrence of Salmonella spp. in the broiler production chain,1,1,0,Debilidad importante,Debilidad importante,,
13,00131_Ciência_Animal_Brasileira_2025.pdf,Ciência Animal Brasileira,Brasil,Ciencias Agrarias y Ambientales,2025,Abscesso peri-hepático associado à síndrome de indigestão vagal em bovinos: estudo retrospectivo,1,0,1,Debilidad importante,FF clasica,,
14,00132_Ciência_Animal_Brasileira_2025.pdf,Ciência Animal Brasileira,Brasil,Ciencias Agrarias y Ambientales,2025,Antimicrobial resistance in ovine production: maternal-descendant similarities in Coliforms and Enterococcus spp.,1,0,0,Debilidad importante,Debilidad importante,,
15,00137_Ciência_Animal_Brasileira_2023.pdf,Ciência Animal Brasileira,Brasil,Ciencias Agrarias y Ambientales,2023,Achados epidemiológicos e anatomopatológicos de úlceras do abomaso tipo 1 e 2 em bovinos com diferentes comorbidades primárias,1,0,0,Debilidad importante,Debilidad importante,,
16,00138_Ciência_Animal_Brasileira_2023.pdf,Ciência Animal Brasileira,Brasil,Ciencias Agrarias y Ambientales,2023,Estratégias de vedação na ensilagem de milho e desempenho de ovinos em confinamento,1,1,0,Sin falla relevante,Sin falla relevante,,
17,00140_Ciência_Animal_Brasileira_2023.pdf,Ciência Animal Brasileira,Brasil,Ciencias Agrarias y Ambientales,2023,"Soroepidemiologia de leptospirose em equinos da região de Santarém, Pará",1,0,0,Debilidad importante,Debilidad importante,,
18,00158_Ensaio_2024.pdf,Ensaio,Brasil,Ciencias Agrarias y Ambientales,2024,How did women and men react to remote Education during the pandemic? The cases of Portugal and Russia,1,1,0,Debilidad importante,Debilidad importante,,
19,00200_Horizonte_2021.pdf,Horizonte,Brasil,Ciencias Agrarias y Ambientales,2021,“Sem religião” ou pluralismo religioso? Uma leitura introdutória,1,1,1,Debilidad importante,FF con reconocimiento,,
20,00253_Ornamental_Horticulture_2025.pdf,Ornamental Horticulture,Brasil,Ciencias Agrarias y Ambientales,2025,Planning and evaluation of rooftop garden designs: A survey-based assessment study at faculty of Agriculture,1,0,0,Debilidad importante,Debilidad importante,,
21,00257_Ornamental_Horticulture_2024.pdf,Ornamental Horticulture,Brasil,Ciencias Agrarias y Ambientales,2024,Ornamental peppers: there is some accounting for taste,1,1,1,Debilidad importante,FF con reconocimiento,,
22,00296_Revista_Brasileira_de_Agroecol_2024.pdf,Revista Brasileira de Agroecologia,Brasil,Ciencias Agrarias y Ambientales,2024,"Caracterização dos agroecossistemas de açaí-do-amazonas em Codajás, Amazonas - Brasil",1,0,1,Falla fuerte,FF clasica,,
23,00297_Revista_Brasileira_de_Agroecol_2024.pdf,Revista Brasileira de Agroecologia,Brasil,Ciencias Agrarias y Ambientales,2024,Diversity and location: key elements to the production of agroecological technical novelties by smallholders,1,0,1,Debilidad importante,FF clasica,,
24,00313_Revista_Brasileira_de_Engenhar_2024.pdf,Revista Brasileira de Engenharia de Biossistemas,Brasil,Ciencias Agrarias y Ambientales,2024,Influence of good practices training and milking systems on standard plate count of dairy properties in a municipality in the interior of São Paulo state,1,0,1,Falla fuerte,FF clasica,,
25,00319_Revista_Brasileira_de_Engenhar_2022.pdf,Revista Brasileira de Engenharia de Biossistemas,Brasil,Ciencias Agrarias y Ambientales,2022,Broiler production efficiency: An analysis using thermal infrared images,1,0,1,Falla fuerte,FF clasica,,
26,00343_Revista_Brasileira_de_Saúde_e_2025.pdf,Revista Brasileira de Saúde e Produção Animal,Brasil,Ciencias Agrarias y Ambientales,2025,Canine infection by Ehrlichia canis and Anaplasma platys in the semiarid region of Brazil: frequency and molecular characterization,1,1,1,Debilidad importante,FF con reconocimiento,,
27,00345_Revista_Brasileira_de_Saúde_e_2024.pdf,Revista Brasileira de Saúde e Produção Animal,Brasil,Ciencias Agrarias y Ambientales,2024,Antimicrobial resistance of bacterial agents of bovine mastitis from dairy properties in the metropolitan region of São Luís – MA,1,0,1,Falla fuerte,FF clasica,,
28,00349_Revista_Brasileira_de_Saúde_e_2023.pdf,Revista Brasileira de Saúde e Produção Animal,Brasil,Ciencias Agrarias y Ambientales,2023,Estimate of the canine and feline population in a municipality of thenortheastsemi-arid: a view on responsible owner ship,0,0,1,Sin falla relevante,Sin falla relevante,,
29,00350_Revista_Brasileira_de_Saúde_e_2023.pdf,Revista Brasileira de Saúde e Produção Animal,Brasil,Ciencias Agrarias y Ambientales,2023,Productive diagnosis offrog culture in the state of Rio de Janeiro,1,0,1,Falla fuerte,FF clasica,,
30,00351_Revista_Brasileira_de_Zootecni_2022.pdf,Revista Brasileira de Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2022,"Comparison of reproductive performance, live weight, survivability, and fleece characteristics of indoor-raised Central Anatolian Merino and Malya sheep",1,0,1,Falla fuerte,FF clasica,,
31,00354_Revista_Brasileira_de_Zootecni_2018.pdf,Revista Brasileira de Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2018,Characterization of a non-industrial pig production system: the case of Bísaro breed,1,0,1,Falla fuerte,FF clasica,,
32,00355_Revista_Brasileira_de_Zootecni_2018.pdf,Revista Brasileira de Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2018,Effectiveness of the morphofunctional evaluation method of Campolina and Mangalarga Marchador breeds,1,0,1,Falla fuerte,FF clasica,,
33,00357_Revista_Brasileira_de_Zootecni_2016.pdf,Revista Brasileira de Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2016,"Behaviour, heart rate, and heart rate variability in pigs exposed to novelty",1,1,1,Debilidad importante,FF con reconocimiento,,
34,00359_Revista_Brasileira_de_Zootecni_2014.pdf,Revista Brasileira de Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2014,Effects of supplementation of calcium salts of polyunsaturated fatty acids on serum concentrations of progesterone and insulin of pregnant dairy cows,0,0,1,Sin falla relevante,Sin falla relevante,,
35,00473_Sophia_Austral_2026.pdf,Sophia Austral,Chile,Ciencias Agrarias y Ambientales,2026,"Optimistas, escépticos o temerosos: Perfiles actitudinales frente a la Inteligencia Artificial Generativa en la Facultad de Educación y Ciencias Sociales de la Universidad de Magallanes",1,0,1,Falla fuerte,FF clasica,,
36,00474_Sophia_Austral_2025.pdf,Sophia Austral,Chile,Ciencias Agrarias y Ambientales,2025,La escritura epistémica en el sistema educativo chileno: percepción del profesorado,1,1,1,Debilidad importante,FF con reconocimiento,,
37,00476_Sophia_Austral_2025.pdf,Sophia Austral,Chile,Ciencias Agrarias y Ambientales,2025,"Creencias sobre democracia, buena ciudadanía y vida cívica en estudiantes de primer año de Pedagogías",1,1,0,Debilidad importante,Debilidad importante,,
38,00479_Sophia_Austral_2025.pdf,Sophia Austral,Chile,Ciencias Agrarias y Ambientales,2025,"Hacia una caracterización del perfil docente universitario de nuevo ingreso. Competencias, percepciones y desafíos institucionales",1,1,0,Debilidad importante,Debilidad importante,,
39,00504_Ciencia_y_Tecnología_Agropecua_2024.pdf,Ciencia y Tecnología Agropecuaria,Colombia,Ciencias Agrarias y Ambientales,2024,"Factores genéticos y ambientales que afectan la permanencia productiva en ganado Holstein, Suizo Pardo y sus cruzas recíprocas",1,0,1,Falla fuerte,FF clasica,,
40,00507_Ciencia_y_Tecnología_Agropecua_2023.pdf,Ciencia y Tecnología Agropecuaria,Colombia,Ciencias Agrarias y Ambientales,2023,"Fasciola hepática como causal de decomiso de hígados en bovinos faenados en la provincia de Huaura, Perú",1,0,1,Falla fuerte,FF clasica,,
41,00509_Ciencia_y_Tecnología_Agropecua_2023.pdf,Ciencia y Tecnología Agropecuaria,Colombia,Ciencias Agrarias y Ambientales,2023,Sistema de producción del cultivo de arroz en zonas con alta salinidad en suelos y agua,0,0,1,Debilidad importante,Debilidad importante,,
42,00523_Cuadernos_de_Geografía_Revista_2024.pdf,Cuadernos de Geografía: Revista Colombiana de Geografía,Colombia,Ciencias Agrarias y Ambientales,2024,"Asentamientos informales, regularización y riesgo de desastres en el periurbano del Distrito Metropolitano de Quito - Colinas del Norte",1,1,1,Debilidad importante,FF con reconocimiento,,
43,00529_Cuadernos_de_Geografía_Revista_2023.pdf,Cuadernos de Geografía: Revista Colombiana de Geografía,Colombia,Ciencias Agrarias y Ambientales,2023,"Violencia física contra la mujer durante el confinamiento por COVID-19 en Bogotá, Colombia",1,1,1,Debilidad importante,FF con reconocimiento,,
44,00557_Mundo_Amazónico_2024.pdf,Mundo Amazónico,Colombia,Ciencias Agrarias y Ambientales,2024,"Conflictos armados, medio ambiente y turismo: relaciones entre posacuerdo y aviturismo en Colombia",1,1,1,Debilidad importante,FF con reconocimiento,,
45,00561_Papeles_2026.pdf,Papeles,Colombia,Ciencias Agrarias y Ambientales,2026,Building Independent Technical Reading Skills in English as Foreign Language Students,1,1,0,Debilidad importante,Debilidad importante,,
46,00569_Papeles_2024.pdf,Papeles,Colombia,Ciencias Agrarias y Ambientales,2024,Implementing Inquiry-based Learning through Sustainable Development Goals: A didactic Approach to Foster Learn-ing-to-learn and Citizenship Competencies in EFL,1,1,1,Debilidad importante,FF con reconocimiento,,
47,00570_Papeles_2024.pdf,Papeles,Colombia,Ciencias Agrarias y Ambientales,2024,La importancia de los problemas socioambientales y su adecuación en los libros de texto de geografía según la opinión del alumnado,1,0,0,Debilidad importante,Debilidad importante,,
48,00593_Revista_Colombiana_de_Educació_2024.pdf,Revista Colombiana de Educación,Colombia,Ciencias Agrarias y Ambientales,2024,Estrategias metacognitivas y motivación de logro académico en estudiantes universitarios de Arequipa (Perú),1,0,1,Debilidad importante,FF clasica,,
49,00598_Revista_Colombiana_de_Educació_2024.pdf,Revista Colombiana de Educación,Colombia,Ciencias Agrarias y Ambientales,2024,Programas de estímulo como variable predictora de los cambios en la profesión académica en Escuelas Normales de México,1,0,1,Falla fuerte,FF clasica,,
50,00618_Revista_Colombiana_de_Tecnolog_2026.pdf,Revista Colombiana de Tecnologías de Avanzada,Colombia,Ciencias Agrarias y Ambientales,2026,La interactividad estudiantil y compromiso académico en campus virtuales de instituciones de educación superior,1,0,1,Falla fuerte,FF clasica,,
51,00621_Revista_UIS_Ingenierías_2025.pdf,Revista UIS Ingenierías,Colombia,Ciencias Agrarias y Ambientales,2025,"Costo de capital y rentabilidad de los activos de las micro, pequeñas y medianas empresas comerciales (MIPYMES) en Bogotá",1,0,1,Falla fuerte,FF clasica,,
52,00643_Tecnura_2025.pdf,Tecnura,Colombia,Ciencias Agrarias y Ambientales,2025,"Etapas de la gestión tecnológica orientada a la resolución de problemas industriales en la minería de arcilla en La Guajira, Colombia",1,0,1,Debilidad importante,FF clasica,,
53,00649_Tecnura_2023.pdf,Tecnura,Colombia,Ciencias Agrarias y Ambientales,2023,Aprendiendo programación de computadores a partir de STEAMRW en ingeniería de sistemas,1,0,1,Falla fuerte,FF clasica,,
54,00655_Tropical_Grasslands-Forrajes_T_2024.pdf,Tropical Grasslands-Forrajes Tropicales,Colombia,Ciencias Agrarias y Ambientales,2024,Farmers’ evaluation and economic viability of Urochloa grasses  grown on Nitosol and Vertisol in middle elevations in Ethiopia,1,0,1,Debilidad importante,FF clasica,,
55,00659_Tropical_Grasslands-Forrajes_T_2023.pdf,Tropical Grasslands-Forrajes Tropicales,Colombia,Ciencias Agrarias y Ambientales,2023,Palatabilidad relativa de leñosas forrajeras representativas del bosque seco tropical utilizando un método de cafetería,1,0,1,Falla fuerte,FF clasica,,
56,00673_Revista_Andina_de_Educación_2026.pdf,Revista Andina de Educación,Ecuador,Ciencias Agrarias y Ambientales,2026,Navigating the New Normal: Faculty Perception of Trust and Risks in Adopting Generative Artificial Intelligence in Higher Education,1,1,0,Debilidad importante,Debilidad importante,,
57,00674_Revista_Andina_de_Educación_2025.pdf,Revista Andina de Educación,Ecuador,Ciencias Agrarias y Ambientales,2025,Autopercepción y autorregulación de la calidad de vida del estudiantado de escuelas primarias beneficiarios de un programa social en Chile,1,1,1,Debilidad importante,FF con reconocimiento,,
58,00676_Revista_Andina_de_Educación_2025.pdf,Revista Andina de Educación,Ecuador,Ciencias Agrarias y Ambientales,2025,Comparación de actividades conectadas y desconectadas en la enseñanza del pensamiento computacional a futuros docentes,1,0,1,Falla fuerte,FF clasica,,
59,00677_Revista_Andina_de_Educación_2025.pdf,Revista Andina de Educación,Ecuador,Ciencias Agrarias y Ambientales,2025,"Educación, territorio y mar",1,0,1,Falla fuerte,FF clasica,,
60,00687_Revista_Técnica_Energía_2024.pdf,Revista Técnica Energía,Ecuador,Ciencias Agrarias y Ambientales,2024,Análisis de Percepción del Confort Térmico de Edificaciones Residenciales en la Ciudad de Loja basado en la Norma Ecuatoriana de Eficiencia Energética,1,0,1,Falla fuerte,FF clasica,,
61,00710_Espacio_y_Desarrollo_2021.pdf,Espacio y Desarrollo,Peru,Ciencias Agrarias y Ambientales,2021,Cultura prosocial en Segovia y Remedios: un estudio de atributos en contextos mineros,1,1,0,Debilidad importante,Debilidad importante,,
62,00724_Memoria_Investigaciones_en_Ing_2025.pdf,Memoria Investigaciones en Ingeniería,Uruguay,Ciencias Agrarias y Ambientales,2025,Evaluación de los factores de riesgos psicosociales y la incidencia en el desempeño laboral de los trabajadores de la Municipalidad Distrital de Yuracyacu,1,1,0,Debilidad importante,Debilidad importante,,
63,00782_Cuestiones_de_Sociología_2026.pdf,Cuestiones de Sociología,Argentina,Ciencias Naturales y Exactas,2026,"Efectos diferenciales del sector ocupacional en las inserciones laborales de calidad y en los ingresos, Argentina (2016-2023)",0,0,1,Sin falla relevante,Sin falla relevante,,
64,00787_Cuestiones_de_Sociología_2025.pdf,Cuestiones de Sociología,Argentina,Ciencias Naturales y Exactas,2025,Investigación en tiempo real. El procesamiento de información para la toma de decisiones en la Escuela de Oficios de la UNLP,1,0,0,Sin falla relevante,Sin falla relevante,,
65,00819_Ecología_Austral_2023.pdf,Ecología Austral,Argentina,Ciencias Naturales y Exactas,2023,Multiscale environmental determinants of rats’ infestation on households in a subtropical urban to rural gradient in Latin America,1,0,1,Falla fuerte,FF clasica,,
66,00820_Ecología_Austral_2023.pdf,Ecología Austral,Argentina,Ciencias Naturales y Exactas,2023,Transición hacia un sistema alimentario más saludable y sostenible en la Argentina: Análisis de actores,1,0,1,Falla fuerte,FF clasica,,
67,00835_FACES_2025.pdf,FACES,Argentina,Ciencias Naturales y Exactas,2025,"Hacia un enfoque holístico de la ambidestreza: el Cuadro de Mando Ambidiestro en el sector hotelero de Puebla, México",1,1,1,Debilidad importante,FF con reconocimiento,,
68,00838_FACES_2024.pdf,FACES,Argentina,Ciencias Naturales y Exactas,2024,Incorporación de tecnología y empleo: dinámicas recientes en los sectores industrial y terciario de la ciudad de Rafaela,1,0,1,Falla fuerte,FF clasica,,
69,00841_Fundamentos_2026.pdf,Fundamentos,Argentina,Ciencias Naturales y Exactas,2026,El poder de los dibujos desde una visión prospectiva en el mundo de los negocios,1,0,1,Falla fuerte,FF clasica,,
70,00846_Fundamentos_2025.pdf,Fundamentos,Argentina,Ciencias Naturales y Exactas,2025,Factores que inciden en la intención de adopción de compra para adquirir vehículos eléctricos en Cercado Cochabamba,1,0,1,Falla fuerte,FF clasica,,
71,00850_Fundamentos_2025.pdf,Fundamentos,Argentina,Ciencias Naturales y Exactas,2025,Índice de Pobreza Multidimensional para la ciudad de Río Cuarto,0,0,1,Sin falla relevante,Sin falla relevante,,
72,00852_Lilloa_2025.pdf,Lilloa,Argentina,Ciencias Naturales y Exactas,2025,"Etnobotánica médica del caserío Peña Blanca - Tacabamba, provincia de Chota, Cajamarca",0,0,1,Sin falla relevante,Sin falla relevante,,
73,00862_Marine_and_Fishery_Sciences_2026.pdf,Marine and Fishery Sciences,Argentina,Ciencias Naturales y Exactas,2026,"Captura incidental, interacciones y pérdida de nasas en la pesquería de Ophichthus remiger en el norte del Perú",1,0,1,Falla fuerte,FF clasica,,
74,00867_Marine_and_Fishery_Sciences_2025.pdf,Marine and Fishery Sciences,Argentina,Ciencias Naturales y Exactas,2025,Preliminary evidence of the demographic history of Xystreurys rasilis (Pleuronectiformes: Paralichthyidae) in the Southwestern Atlantic as inferred from mtDNA,1,1,1,Debilidad importante,FF con reconocimiento,,
75,00883_Pensum_2025.pdf,Pensum,Argentina,Ciencias Naturales y Exactas,2025,Environmental sensitivity assessment of a school community,1,1,0,Debilidad importante,Debilidad importante,,
76,00901_Revista_Transporte_y_Territori_2025.pdf,Revista Transporte y Territorio,Argentina,Ciencias Naturales y Exactas,2025,Análise de Paraciclos em Parques Urbanos de Porto Alegre/Brasil: Onde as Pessoas Prendem suas Bicicletas?,1,0,1,Debilidad importante,FF clasica,,
77,00903_Revista_Transporte_y_Territori_2025.pdf,Revista Transporte y Territorio,Argentina,Ciencias Naturales y Exactas,2025,"La percepción social de la infraestructura ciclista y las acciones complementarias en su implementación. Caso de estudio: Avenida Universidad, Querétaro",1,0,0,Debilidad importante,Debilidad importante,,
78,00905_Revista_Transporte_y_Territori_2025.pdf,Revista Transporte y Territorio,Argentina,Ciencias Naturales y Exactas,2025,Movilidad peatonal y justicia territorial: un enfoque comparativo a partir de las encuestas Origen-Destino en tres áreas metropolitanas latinoamericanas,0,1,1,Sin falla relevante,Sin falla relevante,,
79,00906_Revista_Transporte_y_Territori_2024.pdf,Revista Transporte y Territorio,Argentina,Ciencias Naturales y Exactas,2024,"Caracterización inicial de la movilidad  de las mujeres rurales en Cuenca, Ecuador",0,0,1,Sin falla relevante,Sin falla relevante,,
80,00907_Revista_Transporte_y_Territori_2024.pdf,Revista Transporte y Territorio,Argentina,Ciencias Naturales y Exactas,2024,"Conductas de protección vial en la ciudad de Sunchales, Argentina: factores humanos, vehiculares y ambientales",1,0,1,Falla fuerte,FF clasica,,
81,00908_Revista_Transporte_y_Territori_2024.pdf,Revista Transporte y Territorio,Argentina,Ciencias Naturales y Exactas,2024,Interseções cicláveis: uma análise de indicadores de nível de serviço para bicicletas sob a percepção de ciclistas,1,0,1,Falla fuerte,FF clasica,,
82,00909_Revista_Transporte_y_Territori_2024.pdf,Revista Transporte y Territorio,Argentina,Ciencias Naturales y Exactas,2024,Qualidade do serviço e satisfação dos usuários: estudo do sistema de transporte por ônibus em Porto Alegre,0,0,1,Sin falla relevante,Sin falla relevante,,
83,00923_Revista_de_Enseñanza_de_la_Fís_2024.pdf,Revista de Enseñanza de la Física,Argentina,Ciencias Naturales y Exactas,2024,Análise translacional de crenças de autoeficácia na aprendizagem de Física - Parte 2,1,0,0,Debilidad importante,Debilidad importante,,
84,00924_Revista_de_Enseñanza_de_la_Fís_2024.pdf,Revista de Enseñanza de la Física,Argentina,Ciencias Naturales y Exactas,2024,Discussões entre estudantes durante a resolução de questões de física e confiança na resposta escolhida,1,0,1,Falla fuerte,FF clasica,,
85,00952_Acta_Scientiarum_Technology_2025.pdf,Acta Scientiarum: Technology,Brasil,Ciencias Naturales y Exactas,2025,Assessment of heavy metal accumulation and microbial contamination and potential health risks in fruits and vegetables cultivated in the vicinity of a landfill in the central region of Brazil,1,0,1,Falla fuerte,FF clasica,,
86,00957_Acta_Scientiarum_Technology_2023.pdf,Acta Scientiarum: Technology,Brasil,Ciencias Naturales y Exactas,2023,Pesticide residues detected in Colossoma macropomum by the modified QuEChERS and GC-MS/MS methods,0,0,1,Sin falla relevante,Sin falla relevante,,
